ChEMBLID,Name,Synonyms,Type,Max Phase,Molecular Weight,Targets,Bioactivities,AlogP,Polar Surface Area,HBA,HBD,#RO5 Violations,#Rotatable Bonds,Passes Ro3,QED Weighted,CX Acidic pKa,CX Basic pKa,CX LogP,CX LogD,Aromatic Rings,Structure Type,Inorganic Flag,Heavy Atoms,HBA (Lipinski),HBD (Lipinski),#RO5 Violations (Lipinski),Molecular Weight (Monoisotopic),Molecular Species,Molecular Formula,Smiles,Inchi Key
CHEMBL13341,NIMETAZEPAM,ERIMIN|NIMETAZEPAM|S 1530|S-1530,Small molecule,0,295.3,124,551,2.41,75.81,4,0,0,2,N,0.63,None,2.72,2.41,2.41,2,MOL,0,22,6,0,0,295.0957,NEUTRAL,C16H13N3O3,CN1C(=O)CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc21,GWUSZQUVEVMBPI-UHFFFAOYSA-N
CHEMBL1200802,TALBUTAL,Lotusate|TALBUTAL,Small molecule,4,224.26,2,5,0.96,75.27,3,2,0,4,N,0.55,7.48,None,1.59,1.33,0,MOL,0,16,5,2,0,224.1161,NEUTRAL,C11H16N2O3,C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O,BJVVMKUXKQHWJK-UHFFFAOYSA-N
CHEMBL44618,CHLOROFORM,CHLOROFORM|CHLOROFORM BP|CHLOROFORMUM|Chloroform|HCC 20|NSC-77361|R 20 (REFRIGERANT),Small molecule,4,119.38,123,894,1.99,0,0,0,0,0,Y,0.43,None,None,1.83,1.83,0,MOL,0,4,0,0,0,117.9144,None,CHCl3,ClC(Cl)Cl,HEDRZPFGACZZDS-UHFFFAOYSA-N
CHEMBL2105883,VINYL ETHER,VINYL ETHER,Small molecule,0,70.09,,,1.29,9.23,1,0,0,2,Y,0.44,None,None,1.13,1.13,0,MOL,0,5,1,0,0,70.0419,None,C4H6O,C=COC=C,QYKIQEUNHZKYBP-UHFFFAOYSA-N
CHEMBL93047,ETHADIONE,EPINYL|ETHADIONE|NEO-ABSENTOL|NSC-27168|PETIDION|PETISAN,Small molecule,0,157.17,2,3,0.76,46.61,3,0,0,1,Y,0.56,None,None,0.86,0.86,0,MOL,0,11,4,0,0,157.0739,None,C7H11NO3,CCN1C(=O)OC(C)(C)C1=O,SIGSNYAYBSJATD-UHFFFAOYSA-N
CHEMBL86715,PROCYCLIDINE,ELORINE|KEMADRINE|LERGINE|NSC-169103|PROCYCLIDINE|TRICOLOID|VAGOSIN,Small molecule,4,287.45,14,47,3.94,23.47,2,1,0,5,N,0.89,13.84,9.45,3.79,1.75,1,MOL,0,21,2,1,0,287.2249,BASE,C19H29NO,OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1,WYDUSKDSKCASEF-UHFFFAOYSA-N
CHEMBL36633,OXIRACETAM,CGP 21690E|CGP-21690E|GNF-PF-1005|OXIRACETAM,Small molecule,2,158.16,17,39,-1.94,83.63,3,2,0,2,N,0.49,None,None,-2.6,-2.6,0,MOL,0,11,5,3,0,158.0691,NEUTRAL,C6H10N2O3,NC(=O)CN1CC(O)CC1=O,IHLAQQPQKRMGSS-UHFFFAOYSA-N
CHEMBL741,LAMOTRIGINE,BW 430C|BW-430C|LAMICTAL CD|LAMICTAL ODT|LAMICTAL XR|LAMOTRIGINE|Lamictal|NSC-759171,Small molecule,4,256.1,172,954,2.01,90.71,5,2,0,1,N,0.81,None,5.89,1.93,1.91,2,MOL,0,16,5,4,0,255.0079,NEUTRAL,C9H7Cl2N5,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,PYZRQGJRPPTADH-UHFFFAOYSA-N
CHEMBL1618340,CITICOLINE,CITICOLINE|IP 302|IP-302|NSC-122002,Small molecule,3,489.34,5,10,-1.6,212.89,12,5,1,10,N,0.19,1.84,None,-7.11,-7.45,1,MOL,0,31,15,6,2,489.1146,ACID,C14H27N4O11P2+,C[N+](C)(C)CCOP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O,RZZPDXZPRHQOCG-OJAKKHQRSA-O
CHEMBL3301667,CALCIUM CARBIMIDE,CALCIUM CARBIMIDE|CARBODIMID CALCIUM|CYANAMIDE|CYANAMIDE CALCIUM SALT (1:1)|NITROLIME|NSC-7078,Small molecule,0,80.1,,,0.32,47.7,2,2,0,0,Y,0.37,None,3.56,-0.25,-0.25,0,MOL,0,3,2,2,0,42.0218,NEUTRAL,CCaN2,[Ca+2].[N-]=C=[N-],MYFXBBAEXORJNB-UHFFFAOYSA-N
CHEMBL1201336,FOSPHENYTOIN,FOSPHENYTOIN,Small molecule,4,362.28,4,45,1.55,116.17,4,3,0,5,N,0.55,1.46,None,1.67,-1.65,2,MOL,0,25,8,3,0,362.0668,ACID,C16H15N2O6P,O=C1NC(c2ccccc2)(c2ccccc2)C(=O)N1COP(=O)(O)O,XWLUWCNOOVRFPX-UHFFFAOYSA-N
CHEMBL1200733,DESFLURANE,DESFLURANE|I-653|Suprane,Small molecule,4,168.04,3,54,2.08,9.23,1,0,0,2,Y,0.57,None,None,2.4,2.4,0,MOL,0,10,1,0,0,168.001,NEUTRAL,C3H2F6O,FC(F)OC(F)C(F)(F)F,DPYMFVXJLLWWEU-UHFFFAOYSA-N
CHEMBL3833301,BARBEXACLONE,BARBEXACLONE|Maliasin,Small molecule,4,387.52,,,None,None,None,None,None,None,None,None,None,None,None,None,None,MOL,0,None,None,None,None,387.2522,None,C22H33N3O3,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O.CNC(C)CC1CCCCC1,MJCBWPMBFCUHBP-UHFFFAOYSA-N
CHEMBL1652,AMBENONIUM,AMBENONIUM|AMBENONIUM CATION|AMBENONIUM ION|Ambenonium,Small molecule,4,537.58,14,31,4.64,58.2,2,2,1,14,N,0.27,11.48,None,-3.63,-3.63,2,MOL,0,36,6,2,1,536.2674,NEUTRAL,C28H42Cl2N4O2+2,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)Cc1ccccc1Cl)Cc1ccccc1Cl,OMHBPUNFVFNHJK-UHFFFAOYSA-P
CHEMBL1201347,ANILERIDINE,ADOPOL|ALIDINE|ANILERIDINE|APIDOL|IDS-NA-012|LERITIN|NIPECOTAN,Small molecule,4,352.48,4,10,3.41,55.56,4,1,0,6,N,0.64,None,8.88,3.64,2.15,2,MOL,0,26,4,2,0,352.2151,BASE,C22H28N2O2,CCOC(=O)C1(c2ccccc2)CCN(CCc2ccc(N)cc2)CC1,LKYQLAWMNBFNJT-UHFFFAOYSA-N
CHEMBL2105552,VINYLBITAL,BUTYLVINAL|BUTYVINYL|JD-96|OPTANOX|SPEDA|VINYLBITAL|VINYLBITONE|VINYMAL,Small molecule,0,224.26,,,0.96,75.27,3,2,0,4,N,0.55,7.14,None,1.59,1.15,0,MOL,0,16,5,2,0,224.1161,NEUTRAL,C11H16N2O3,C=CC1(C(C)CCC)C(=O)NC(=O)NC1=O,KGKJZEKQJQQOTD-UHFFFAOYSA-N
CHEMBL3707308,ACETYLGLYCINAMIDE CHLORAL HYDRATE,ACETYLGLYCINAMIDE CHLORAL HYDRATE,Small molecule,0,281.52,,,None,None,None,None,None,None,None,None,None,None,None,None,None,MOL,0,None,None,None,None,279.9784,None,C6H11Cl3N2O4,CC(=O)NCC(N)=O.OC(O)C(Cl)(Cl)Cl,IYWCBBFJDGWEAZ-UHFFFAOYSA-N
CHEMBL634,ALFENTANIL,AFENTANYL|ALFENTANIL|ALFENTANYL|Alfentanil|IDS-NA-014|R-39209|R-39209-,Small molecule,4,416.53,39,171,1.38,85.49,8,0,0,9,N,0.61,None,7.5,2.81,2.45,2,MOL,0,30,9,0,0,416.2536,NEUTRAL,C21H32N6O3,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,IDBPHNDTYPBSNI-UHFFFAOYSA-N
CHEMBL315795,CLOMETHIAZOLE,CHLORMETHIAZOLE|CLOMETHIAZOLE|DISTRANEURINE|HEMINEVRIN|SCTZ [AS EDISYLATE],Small molecule,4,161.66,24,61,2.23,12.89,2,0,0,2,Y,0.61,None,3.18,1.77,1.77,1,MOL,0,9,1,0,0,161.0066,NEUTRAL,C6H8ClNS,Cc1ncsc1CCCl,PCLITLDOTJTVDJ-UHFFFAOYSA-N
CHEMBL18116,TOLOXATONE,HUMORYL|TOLOXATONE,Small molecule,0,207.23,13,85,1.31,49.77,3,1,0,2,Y,0.8,None,None,1.41,1.41,1,MOL,0,15,4,1,0,207.0895,NEUTRAL,C11H13NO3,Cc1cccc(N2CC(CO)OC2=O)c1,MXUNKHLAEDCYJL-UHFFFAOYSA-N
CHEMBL726,FLUPHENAZINE,FLUPHENAZINE|Fluphenazine|NSC-62323|Permitil|Prolixin,Small molecule,4,437.53,183,2382,4.31,29.95,5,1,0,6,N,0.73,None,7.81,3.97,3.41,2,MOL,0,30,4,1,0,437.1749,NEUTRAL,C22H26F3N3OS,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,PLDUPXSUYLZYBN-UHFFFAOYSA-N
CHEMBL715,OLANZAPINE,ARKOLAMYL|LY-170053|LY170053|OLANSEK|OLANZAPINE|OLANZAPINE APOTEX|OLANZAPINE CIPLA|OLANZAPINE GLENMARK|OLANZAPINE MYLAN|OLANZAPINE TEVA|OLAZAX|OLAZAX DISPERZI|ZALASTA|ZYPREXA VELOTAB|ZYPREXA ZYDIS|Zyprexa,Small molecule,4,312.44,186,1262,3.44,30.87,5,1,0,0,N,0.81,13.17,7.24,3.39,3.16,2,MOL,0,22,4,1,0,312.1409,NEUTRAL,C17H20N4S,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,KVWDHTXUZHCGIO-UHFFFAOYSA-N
CHEMBL16,PHENYTOIN,DILANTIN-125|DILANTIN-30|DIPHENYLHYDANTOIN|Dilabid|Dilantin|Diphenylhydantoin|EPAMIN|Hydantol|LEPITOIN|NSC-8722|PHENYTOIN|PHENYTOINUM|Phentytoin|Phenytek|Phenytex|SM-88 COMPONENT PHENYTOIN|ZENTROPIL,Small molecule,4,252.27,203,3943,1.97,61.69,2,2,0,2,N,0.86,5.86,None,2.63,1.07,2,MOL,0,19,4,2,0,252.0899,ACID,C15H12N2O2,O=C1N=C(O)NC1(c1ccccc1)c1ccccc1,CXOFVDLJLONNDW-UHFFFAOYSA-N
CHEMBL370753,OPIPRAMOL,NSC-169867|OPIPRAMOL|OPIPRAMOL DURA,Small molecule,3,363.5,15,41,3.31,29.95,4,1,0,6,N,0.85,None,7.86,3.24,2.65,2,MOL,0,27,4,1,0,363.2311,NEUTRAL,C23H29N3O,OCCN1CCN(CCCN2c3ccccc3C=Cc3ccccc32)CC1,YNZFUWZUGRBMHL-UHFFFAOYSA-N
CHEMBL7863,APROBARBITAL,ALLYPROPYMAL|APROBARBITAL|Alurate|NSC-120769,Small molecule,0,210.23,7,15,0.57,75.27,3,2,0,3,N,0.53,7.48,None,1.14,0.89,0,MOL,0,15,5,2,0,210.1004,NEUTRAL,C10H14N2O3,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,UORJNBVJVRLXMQ-UHFFFAOYSA-N
CHEMBL92963,NARCOBARBITAL,ENIBOMAL|NARCOBARBITAL|NARCOVENE|Narcobarbital|PRONARCON,Small molecule,0,303.16,1,1,1.64,66.48,3,1,0,3,N,0.81,7.89,None,1.61,1.49,0,MOL,0,17,5,1,0,302.0266,NEUTRAL,C11H15BrN2O3,C=C(Br)CC1(C(C)C)C(=O)NC(=O)N(C)C1=O,WGMASVSHOSNKMF-UHFFFAOYSA-N
CHEMBL1200682,SODIUM OXYBATE,.GAMMA.-HYDROXYBUTYRATE SODIUM SALT|CATABATE|NSC-84223|OXYBATE SODIUM|SODIUM OXYBAT|SODIUM OXYBATE|SODIUM OXYBUTYRATE|Sodium oxybate|WY-3478|Xyrem,Small molecule,4,126.09,8,49,-0.16,57.53,2,2,0,3,Y,0.52,4.44,None,-0.51,-3.37,0,MOL,0,7,3,2,0,104.0473,ACID,C4H7NaO3,O=C([O-])CCCO.[Na+],XYGBKMMCQDZQOZ-UHFFFAOYSA-M
CHEMBL896,HYDROXYZINE,ATARAXOID|Atarax|HYDROXYZINE|Hydroxyzine|MAREX|NSC-169188|Orgatrax|TRAN-Q|TRANQUIZINE|U.C.B-4492,Small molecule,4,374.91,42,1511,3.06,35.94,4,1,0,8,N,0.72,None,7.45,3.41,3.09,2,MOL,0,26,4,1,0,374.1761,NEUTRAL,C21H27ClN2O2,OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,ZQDWXGKKHFNSQK-UHFFFAOYSA-N
CHEMBL2104907,FENOZOLONE,FENOZOLONE|LD 3394|LD-3394|PHENOZOLONE,Small molecule,0,204.23,,,1.25,50.69,3,1,0,2,Y,0.79,None,None,1.43,1.43,1,MOL,0,15,4,1,0,204.0899,NEUTRAL,C11H12N2O2,CCNC1=NC(=O)C(c2ccccc2)O1,RXOIEVSUURELPG-UHFFFAOYSA-N
CHEMBL1083659,SUVOREXANT,BELSOMRA|MK-4305|MK4305|SUVOREXANT,Small molecule,4,450.93,20,144,4.11,80.29,7,0,0,3,N,0.47,None,0.26,4.04,4.04,4,MOL,0,32,8,0,0,450.1571,NEUTRAL,C23H23ClN6O2,Cc1ccc(-n2nccn2)c(C(=O)N2CCN(c3nc4cc(Cl)ccc4o3)CC[C@H]2C)c1,JYTNQNCOQXFQPK-MRXNPFEDSA-N
CHEMBL440294,PIPAMPERONE,FLOROPIPAMIDE|NSC-759178|PIPAMPERONE|PIPAMPERONE HYDROCHLORIDE|PIPANEPERONE|R 3345|R-3345,Small molecule,3,375.49,7,14,2.59,66.64,4,1,0,7,N,0.74,None,8.39,1.87,0.83,1,MOL,0,27,5,2,0,375.2322,NEUTRAL,C21H30FN3O2,NC(=O)C1(N2CCCCC2)CCN(CCCC(=O)c2ccc(F)cc2)CC1,AXKPFOAXAHJUAG-UHFFFAOYSA-N
CHEMBL113,CAFFEINE,ANHYDROUS CAFFEINE|CAFFEINE|CAFFEINE ANHYDROUS|CAFFEINE MELTING POINT STANDARD|CAFFEINUM|COFFEINE|COFFEINUM|Cafcit|Caffeine|DURVITAN|FEMA NO. 2224|GUARANINE|METHYLTHEOBROMINE|NODOZ|NSC-5036|NoDoz Caplets and Chewable Tablets|PRO-PLUS|SYNALGOS|THEINE|VIVARIN|YEAST-VITE|ZANTHINE,Small molecule,4,194.19,208,2795,-1.03,61.82,6,0,0,0,N,0.54,None,None,-0.55,-0.55,2,MOL,0,14,6,0,0,194.0804,NEUTRAL,C8H10N4O2,Cn1c(=O)c2c(ncn2C)n(C)c1=O,RYYVLZVUVIJVGH-UHFFFAOYSA-N
CHEMBL1201,THIOTHIXENE,(Z)-THIOTHIXENE|CIS-THIOTHIXENE|CP-12252-1|NSC-108165|Navane|ORBINAMON|P-4657 B|P-4657B|THIOTHIXENE|THIOTHIXENE CIS-ISOMER|TIOTIXENE,Small molecule,4,443.64,44,121,3.47,43.86,5,0,0,5,N,0.6,None,8.16,3.36,2.54,2,MOL,0,30,5,0,0,443.1701,NEUTRAL,C23H29N3O2S2,CN1CCN(CC/C=C2/c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,GFBKORZTTCHDGY-UWVJOHFNSA-N
CHEMBL636,RIVASTIGMINE,ALZEST|ELUDEN|ENA-713|ENA-713D|ERASTIG|Exelon|KERSTIPON|NIMVASTID|ONO-2540|PROMETAX|RIVASTIGMINE|RIVASTIGMINE HEXAL|RIVASTIGMINE SANDOZ|RIVASTIGMINE TEVA|SDZ-212-713|SDZ-212713|SDZ-ENA-713|SOMNITON|VOLEZE,Small molecule,4,250.34,44,403,2.76,32.78,3,0,0,4,N,0.82,None,8.8,2.41,1,1,MOL,0,18,4,0,0,250.1681,BASE,C14H22N2O2,CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1,XSVMFMHYUFZWBK-NSHDSACASA-N
CHEMBL895,NALBUPHINE,INTAPAN|NALBUPHINE|Nalbuphine|Nubain,Small molecule,4,357.45,121,387,1.71,73.16,5,3,0,2,N,0.75,10.39,9.62,1.19,-0.73,1,MOL,0,26,5,3,0,357.194,BASE,C21H27NO4,Oc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@@]4(O)[C@@H](C2)N(CC2CCC2)CC[C@]314,NETZHAKZCGBWSS-CEDHKZHLSA-N
CHEMBL2110816,BUTRIPTYLINE,BUTRIPTYLINE|EVADENE|EVADYNE,Small molecule,4,293.45,2,19,4.5,3.24,1,0,0,4,N,0.8,None,10.01,5.44,2.89,2,MOL,0,22,1,0,0,293.2143,BASE,C21H27N,CC(CC1c2ccccc2CCc2ccccc21)CN(C)C,ALELTFCQZDXAMQ-UHFFFAOYSA-N
CHEMBL2110805,EMEPRONIUM,EMEPRONIUM|EMEPRONIUM CATION|EMEPRONIUM ION,Small molecule,4,282.45,,,4.69,0,0,0,0,6,N,0.67,None,None,0.68,0.68,2,MOL,0,21,1,0,0,282.2216,None,C20H28N+,CC[N+](C)(C)C(C)CC(c1ccccc1)c1ccccc1,JEJBJBKVPOWOQK-UHFFFAOYSA-N
